name,calories,protein,carbs,fat,sugar,benefits,cons,advice
cream cheese,51,0.9,0.8,5.0,0.5,Contains nutrition,Depends on quantity,Maintain balanced diet
neufchatel cheese,215,7.8,3.1,19.4,2.7,Contains nutrition,Depends on quantity,Maintain balanced diet
requeijao cremoso light catupiry,49,0.8,0.9,3.6,3.4,Contains nutrition,Depends on quantity,Maintain balanced diet
ricotta cheese,30,1.5,1.5,2.0,0.091,Contains nutrition,Depends on quantity,Maintain balanced diet
cream cheese low fat,30,1.2,1.2,2.3,0.9,Contains nutrition,Depends on quantity,Maintain balanced diet
cream cheese fat free,19,2.8,1.4,0.2,1.0,Contains nutrition,Depends on quantity,Maintain balanced diet
gruyere cheese,116,8.3,0.1,9.1,0.1,Contains nutrition,Depends on quantity,Maintain balanced diet
cheddar cheese,113,6.4,0.9,9.3,0.1,Contains nutrition,Depends on quantity,Maintain balanced diet
parmesan cheese,71,6.4,0.6,4.5,0.046,Contains nutrition,Depends on quantity,Maintain balanced diet
romano cheese,19,1.6,0.2,1.3,0.088,Contains nutrition,Depends on quantity,Maintain balanced diet
parmesan cheese grated,21,1.4,0.7,1.4,0.075,Contains nutrition,Depends on quantity,Maintain balanced diet
port salut cheese,465,31.4,0.8,37.2,0.8,Contains nutrition,Depends on quantity,Maintain balanced diet
swiss cheese,98,6.7,0.4,7.7,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
goat cheese hard,128,8.6,0.6,10.1,0.6,Contains nutrition,Depends on quantity,Maintain balanced diet
gouda cheese,100,7.0,0.6,7.7,0.6,Contains nutrition,Depends on quantity,Maintain balanced diet
pepper jack cheese lucerne,75,5.0,0.0,6.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
caraway cheese,106,7.1,0.9,8.3,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
gjetost cheese,1058,21.9,96.8,67.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
tilsit cheese,136,9.8,0.8,10.4,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
goat cheese,103,6.1,0.009,8.4,0.031,Contains nutrition,Depends on quantity,Maintain balanced diet
brick cheese,111,7.0,0.8,8.9,0.2,Contains nutrition,Depends on quantity,Maintain balanced diet
asadero cheese,402,25.5,3.2,31.9,3.2,Contains nutrition,Depends on quantity,Maintain balanced diet
camembert cheese,90,5.9,0.1,7.3,0.1,Contains nutrition,Depends on quantity,Maintain balanced diet
provolone cheese reduced fat,310,27.9,4.0,19.9,0.6,Contains nutrition,Depends on quantity,Maintain balanced diet
roquefort cheese,314,18.3,1.7,26.0,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
queso blanco cheese,366,24.0,3.0,28.7,2.1,Contains nutrition,Depends on quantity,Maintain balanced diet
queso seco cheese,315,23.8,2.0,23.6,0.5,Contains nutrition,Depends on quantity,Maintain balanced diet
goat cheese soft,75,5.2,0.0,6.0,0.3,Contains nutrition,Depends on quantity,Maintain balanced diet
mozzarella cheese,90,6.7,0.7,6.6,0.0,Contains nutrition,Depends on quantity,Maintain balanced diet
chihuahua cheese,494,28.5,7.3,39.2,7.3,Contains nutrition,Depends on quantity,Maintain balanced diet
